timestamp_eastern,open,high,low,close,volume,cd,cdv,vwap
"May 07, 2025 01:51:55 PM",5635.5,5638.5,5633.5,5635.0,3950,2250562863270,2044404432730,5636.003481012658
"May 07, 2025 01:52:20 PM",5635.0,5638.25,5631.5,5632.75,2910,2413771620030,1881195675970,5634.352233676976
"May 07, 2025 01:53:01 PM",5632.75,5636.5,5630.0,5630.0,2372,2323577307050,1971389988950,5633.153351602024
"May 07, 2025 01:53:27 PM",5630.0,5630.25,5626.25,5627.5,2214,2357937045288,1937030250712,5628.178410117434
"May 07, 2025 01:53:55 PM",5627.5,5632.25,5624.5,5632.0,2420,2095944040686,2199023255314,5628.174070247934
"May 07, 2025 01:54:42 PM",5632.0,5633.25,5627.25,5629.5,2044,2138893713514,2156073582486,5629.79586594912
"May 07, 2025 01:55:24 PM",5629.75,5631.0,5624.5,5626.5,2283,2400886718199,1894080577801,5627.443495400788
"May 07, 2025 01:56:55 PM",5626.5,5630.5,5626.0,5627.25,2204,2061584302164,2233382993836,5628.038793103448
"May 07, 2025 01:58:39 PM",5627.25,5634.0,5625.5,5632.0,2063,1735166787863,2559800508137,5630.018540959767
"May 07, 2025 02:00:02 PM",5632.75,5641.0,5626.5,5635.75,2340,2074469204004,2220498091996,5631.831303418803
"May 07, 2025 02:00:16 PM",5635.75,5640.0,5621.25,5631.75,1757,2581275344587,1713691951413,5627.9533295389865
"May 07, 2025 02:00:31 PM",5631.75,5637.0,5628.25,5633.25,1588,2083059138730,2211908157270,5633.280698992443
"May 07, 2025 02:00:56 PM",5633.0,5636.0,5630.25,5633.25,1509,2143188680695,2151778615305,5633.117793240556
"May 07, 2025 02:01:37 PM",5633.0,5636.25,5630.0,5636.25,1789,2087354105961,2207613190039,5632.300586920067
"May 07, 2025 02:02:06 PM",5636.25,5642.25,5632.5,5640.0,1876,1739461755366,2555505540634,5637.764259061833
"May 07, 2025 02:02:48 PM",5639.5,5641.25,5635.5,5636.75,1940,2388001816190,1906965479810,5637.948840206185
"May 07, 2025 02:03:34 PM",5636.5,5637.25,5630.75,5635.0,1974,2280627633994,2014339662006,5633.711626139818
"May 07, 2025 02:04:47 PM",5635.0,5635.5,5631.0,5632.75,2080,2173253451450,2121713844550,5633.455168269231
"May 07, 2025 02:05:31 PM",5633.0,5633.75,5626.5,5627.25,1743,2576980377225,1717986918775,5629.477337923121
"May 07, 2025 02:06:06 PM",5627.0,5627.75,5621.25,5621.75,2077,2667174690217,1627792605783,5625.068849301878
"May 07, 2025 02:06:17 PM",5621.5,5621.75,5617.0,5618.0,1958,2946347564266,1348619731734,5618.9417773238
"May 07, 2025 02:06:33 PM",5618.0,5618.25,5613.0,5614.0,2086,2551210573308,1743756722692,5615.457694151486
"May 07, 2025 02:06:46 PM",5613.75,5615.0,5608.75,5609.5,2137,2525440769359,1769526526641,5611.33247543285
"May 07, 2025 02:07:03 PM",5609.5,5611.25,5606.0,5606.25,2277,2237677960837,2057289335163,5608.909310496267
"May 07, 2025 02:07:20 PM",5606.25,5607.5,5604.25,5607.0,2084,2267742732236,2027224563764,5606.115403071018
"May 07, 2025 02:07:36 PM",5607.0,5611.75,5606.75,5611.25,2053,1717986918881,2576980377119,5609.909279103751
"May 07, 2025 02:08:01 PM",5611.0,5615.75,5609.0,5609.25,2097,2018634629381,2276332666619,5612.242250834525
"May 07, 2025 02:08:19 PM",5609.25,5610.25,5602.25,5602.75,2242,2680059591818,1614907704182,5605.76683764496
"May 07, 2025 02:08:37 PM",5602.75,5603.75,5600.75,5602.0,1994,2405181685562,1889785610438,5601.967026078235
"May 07, 2025 02:08:49 PM",5602.25,5603.5,5596.25,5596.75,2286,2568390442372,1726576853628,5599.496172353456
"May 07, 2025 02:09:06 PM",5596.75,5601.5,5596.0,5598.5,2306,2121713844308,2173253451692,5599.151886383348
"May 07, 2025 02:09:26 PM",5598.25,5604.75,5597.5,5601.75,1957,1795296330167,2499670965833,5601.374425140521
"May 07, 2025 02:10:04 PM",5601.75,5603.25,5600.25,5600.25,2034,2087354105930,2207613190070,5601.777900688299
"May 07, 2025 02:10:24 PM",5600.25,5606.0,5598.75,5603.0,2041,1722281886059,2572685409941,5602.870529152377
"May 07, 2025 02:10:56 PM",5602.75,5606.25,5599.0,5606.25,2056,2070174236872,2224793059128,5603.063594357976
"May 07, 2025 02:11:22 PM",5606.0,5610.5,5605.75,5610.5,2050,1571958030928,2723009265072,5608.177195121952
"May 07, 2025 02:11:47 PM",5610.5,5612.0,5604.5,5605.0,2117,2456721293103,1838246002897,5608.979333963155
"May 07, 2025 02:12:18 PM",5605.25,5605.5,5599.75,5602.75,2171,2443836391187,1851130904813,5602.376784891755
"May 07, 2025 02:12:55 PM",5602.75,5607.0,5601.75,5605.25,2075,1859720839377,2435246456623,5604.770361445783
"May 07, 2025 02:13:47 PM",5605.25,5608.75,5603.5,5604.75,1889,2065879269511,2229088026489,5606.150344097406
"May 07, 2025 02:14:50 PM",5604.5,5606.0,5601.75,5603.75,2065,2272037699469,2022929596531,5604.065375302664
"May 07, 2025 02:15:28 PM",5603.5,5605.0,5599.25,5599.25,1957,2439541423809,1855425872191,5601.724706182933
"May 07, 2025 02:16:13 PM",5599.25,5603.75,5598.5,5600.75,1836,2186138353608,2108828942392,5601.193218954249
"May 07, 2025 02:16:54 PM",5600.75,5601.0,5597.25,5599.5,1945,2272037699497,2022929596503,5599.029948586118
"May 07, 2025 02:17:31 PM",5599.5,5605.0,5599.25,5604.5,1953,1726576853403,2568390442597,5602.385048643113
"May 07, 2025 02:18:06 PM",5604.5,5608.5,5603.0,5608.5,2078,1919850381486,2375116914514,5606.102983638114
"May 07, 2025 02:18:51 PM",5608.25,5609.5,5604.25,5604.25,2067,2186138353629,2108828942371,5606.751088534107
"May 07, 2025 02:20:02 PM",5604.25,5608.75,5604.25,5607.5,1856,1984274890848,2310692405152,5606.3508890086205
"May 07, 2025 02:20:22 PM",5607.25,5614.5,5607.0,5614.25,2105,1644972474907,2649994821093,5611.6064133016625
